                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.243,                 2.4196,                 1.6205,                0.74552,                 0.2933,                0.40045,                0.26799,                 1.2697,                 2.0411,                 1.7326,               0.070191,              0.0033121,              0.0033121
                      1,                 1.2018,                 1.5461,                  1.575,                0.49902,                0.37103,                0.40983,                 0.2473,                 1.5217,                 2.0511,                 1.9988,                0.04006,              0.0065139,              0.0065139
                      2,                 1.3562,                    1.7,                 1.6812,                0.29958,                0.39544,                0.26412,                0.14727,                 1.5127,                 2.6423,                 2.0113,              0.0097959,              0.0095836,              0.0095836
                      3,                 1.4785,                  1.905,                 1.7854,                0.39018,                0.27997,                0.23207,                0.10961,                 1.9214,                 3.4558,                 2.6852,               0.009406,               0.009406,               0.009406
                      4,                 1.4731,                 1.9374,                 1.7974,                0.31766,                0.25244,                 0.2225,                0.12389,                 1.7297,                 3.7379,                 2.3791,               0.009406,               0.009406,               0.009406
                      5,                 1.4908,                 1.9501,                 1.8023,                 0.5843,                0.31648,                0.27834,                0.15477,                  1.691,                 2.6471,                  2.192,               0.009208,               0.009208,               0.009208
                      6,                 1.4614,                 1.9022,                 1.7858,                0.39878,                0.38757,                0.33967,                0.19238,                 1.6265,                 2.3458,                 2.1327,                0.00901,                0.00901,                0.00901
                      7,                 1.4419,                 1.8232,                 1.7637,                0.39403,                0.37139,                0.31525,                0.17968,                 1.5486,                 2.4307,                  2.064,               0.008812,               0.008812,               0.008812
                      8,                  1.377,                 1.7445,                 1.7189,                0.47604,                0.43082,                 0.3911,                0.22555,                 1.4601,                 2.3417,                 2.0137,               0.008614,               0.008614,               0.008614
                      9,                 1.3667,                 1.7132,                  1.703,                0.49782,                0.35821,                0.39032,                0.22668,                 1.5131,                 1.9998,                 2.0066,               0.008416,               0.008416,               0.008416
                     10,                 1.3224,                 1.6238,                 1.6744,                0.44774,                0.49889,                0.41216,                0.26369,                 1.4779,                 2.0348,                 1.9256,               0.008218,               0.008218,               0.008218
                     11,                 1.3146,                 1.5905,                 1.6541,                0.49346,                0.47681,                0.42301,                0.24709,                 1.4856,                 1.9404,                 1.9714,                0.00802,                0.00802,                0.00802
                     12,                 1.2935,                 1.5744,                 1.6414,                0.64505,                0.43044,                0.49949,                0.30955,                  1.309,                 1.8305,                  1.824,               0.007822,               0.007822,               0.007822
                     13,                 1.2654,                 1.5141,                  1.616,                0.54788,                0.55001,                  0.532,                0.34253,                 1.2798,                 1.6025,                 1.7644,               0.007624,               0.007624,               0.007624
                     14,                 1.2606,                 1.5014,                 1.6147,                0.47175,                0.53475,                0.48665,                0.30768,                 1.4119,                 1.7829,                 1.9878,               0.007426,               0.007426,               0.007426
                     15,                 1.2353,                 1.4692,                 1.5787,                0.57425,                0.51638,                 0.5598,                0.37877,                 1.2611,                 1.5809,                 1.7388,               0.007228,               0.007228,               0.007228
                     16,                 1.2326,                 1.4525,                 1.5942,                0.58989,                0.54424,                0.56951,                0.38237,                 1.2415,                 1.6841,                 1.7326,                0.00703,                0.00703,                0.00703
                     17,                 1.2018,                 1.3926,                 1.5716,                0.75084,                0.52452,                0.59611,                0.39335,                 1.2961,                 1.4979,                 1.7952,               0.006832,               0.006832,               0.006832
                     18,                 1.2069,                 1.3813,                 1.5824,                0.67761,                0.61939,                0.67686,                0.44977,                 1.1726,                 1.4361,                 1.6654,               0.006634,               0.006634,               0.006634
                     19,                 1.1911,                 1.3589,                 1.5676,                0.60347,                0.55734,                0.59356,                  0.409,                 1.2197,                 1.4538,                 1.7543,               0.006436,               0.006436,               0.006436
                     20,                 1.1508,                 1.2943,                 1.5247,                0.43836,                0.41276,                0.37481,                0.21414,                 1.6319,                 2.4267,                 2.3901,               0.006238,               0.006238,               0.006238
                     21,                 1.1446,                 1.2793,                  1.518,                0.81231,                0.58187,                0.70081,                 0.4758,                 1.2639,                  1.328,                 1.7755,                0.00604,                0.00604,                0.00604
                     22,                 1.1396,                 1.2355,                 1.5166,                0.76506,                0.58063,                0.66568,                0.45973,                 1.1284,                 1.3661,                 1.5979,               0.005842,               0.005842,               0.005842
                     23,                 1.1074,                 1.2184,                 1.4996,                0.58921,                0.53195,                0.56916,                0.39515,                 1.2751,                 1.5017,                 1.7768,               0.005644,               0.005644,               0.005644
                     24,                 1.1258,                  1.228,                 1.5006,                 0.6795,                0.66277,                0.67751,                0.45991,                 1.1704,                 1.3273,                 1.6261,               0.005446,               0.005446,               0.005446
                     25,                 1.1025,                 1.1824,                 1.4829,                0.65745,                0.65799,                0.68346,                0.48084,                 1.0696,                 1.3407,                 1.5445,               0.005248,               0.005248,               0.005248
                     26,                 1.0814,                 1.1687,                 1.4654,                0.65004,                0.64693,                0.68517,                0.45693,                 1.2024,                 1.3388,                 1.6655,                0.00505,                0.00505,                0.00505
                     27,                 1.0836,                 1.1308,                 1.4523,                0.70878,                0.67829,                0.71416,                0.51098,                 1.0379,                 1.1937,                 1.5117,               0.004852,               0.004852,               0.004852
                     28,                  1.047,                    1.1,                 1.4353,                0.83082,                0.68543,                 0.7707,                 0.5325,                 1.1124,                 1.1697,                 1.6051,               0.004654,               0.004654,               0.004654
                     29,                 1.0539,                 1.0974,                 1.4432,                0.76557,                0.66148,                0.73119,                0.52591,                 1.0866,                  1.174,                 1.5457,               0.004456,               0.004456,               0.004456
                     30,                  1.031,                 1.0604,                 1.4229,                0.81822,                0.62614,                0.74026,                0.51665,                 1.1518,                 1.2383,                 1.5938,               0.004258,               0.004258,               0.004258
                     31,                  1.021,                 1.0481,                 1.4161,                0.79553,                0.69224,                0.77059,                0.53807,                 1.0342,                 1.1513,                  1.492,                0.00406,                0.00406,                0.00406
                     32,                 1.0073,                 1.0286,                 1.4073,                0.75311,                0.67763,                0.76406,                0.53566,                 1.0178,                 1.1715,                 1.4792,               0.003862,               0.003862,               0.003862
                     33,                0.99408,                 1.0088,                 1.3939,                0.71612,                0.77739,                0.78796,                0.57632,                 1.0162,                 1.0417,                 1.5132,               0.003664,               0.003664,               0.003664
                     34,                0.99193,                0.97468,                 1.3932,                0.75495,                0.71029,                0.77125,                0.56929,                 1.0421,                 1.0901,                 1.5062,               0.003466,               0.003466,               0.003466
                     35,                0.97838,                0.96326,                 1.3841,                0.71451,                0.73992,                0.79315,                0.58643,                 1.0277,                  1.014,                 1.4729,               0.003268,               0.003268,               0.003268
